Season,Clouds,Mountains,Trees,Clouds%,Mountains%,Trees%
1,4,5,12,0.307692308,0.384615385,0.923076923
2,7,4,13,0.538461538,0.307692308,1
3,5,4,12,0.384615385,0.307692308,0.923076923
4,5,4,12,0.384615385,0.307692308,0.923076923
5,6,3,9,0.461538462,0.230769231,0.692307692
6,9,2,11,0.692307692,0.153846154,0.846153846
7,10,2,10,0.769230769,0.153846154,0.769230769
8,7,4,11,0.538461538,0.307692308,0.846153846
9,9,5,9,0.692307692,0.384615385,0.692307692
10,9,4,11,0.692307692,0.307692308,0.846153846
11,10,0,12,0.769230769,0,0.923076923
12,8,4,10,0.615384615,0.307692308,0.769230769
13,8,5,13,0.615384615,0.384615385,1
14,9,5,11,0.692307692,0.384615385,0.846153846
15,8,4,11,0.615384615,0.307692308,0.846153846
16,7,1,10,0.538461538,0.076923077,0.769230769
17,2,2,9,0.153846154,0.153846154,0.692307692
18,6,4,11,0.461538462,0.307692308,0.846153846
19,4,2,12,0.307692308,0.153846154,0.923076923
20,5,5,11,0.384615385,0.384615385,0.846153846
21,4,3,10,0.307692308,0.230769231,0.769230769
22,4,4,11,0.307692308,0.307692308,0.846153846
23,3,2,9,0.230769231,0.153846154,0.692307692
24,4,2,12,0.307692308,0.153846154,0.923076923
25,4,1,9,0.307692308,0.076923077,0.692307692
26,4,1,11,0.307692308,0.076923077,0.846153846
27,3,3,12,0.230769231,0.230769231,0.923076923
28,3,2,11,0.230769231,0.153846154,0.846153846
29,3,6,10,0.230769231,0.461538462,0.769230769
30,5,2,10,0.384615385,0.153846154,0.769230769
31,4,4,12,0.307692308,0.307692308,0.923076923
